book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
draftkings,Ivica Zubac,LAC,PHX,2025-11-06,pra,31.5,-110.0,-118.0,0.49179655455291227,0.5082034454470877,0.06670286153339311,Under,42.509369301951914,0.9332971384666069,-118.0,True,0.02,13.546462503410082,11.962596378109543
fanduel,Ivica Zubac,LAC,PHX,2025-11-06,pra,31.5,-114.0,-114.0,0.5,0.5,0.06670286153339311,Under,43.32971384666069,0.9332971384666069,-114.0,True,0.02,13.546462503410082,11.962596378109543
caesars,Ivica Zubac,LAC,PHX,2025-11-06,pra,31.5,-120.0,-114.0,0.5059101654846335,0.4940898345153664,0.06670286153339311,Under,43.920730395124046,0.9332971384666069,-114.0,True,0.02,13.546462503410082,11.962596378109543
hardrock,Ivica Zubac,LAC,PHX,2025-11-06,pra,31.5,-120.0,-105.0,0.5157232704402516,0.48427672955974843,0.06670286153339311,Under,44.902040890685846,0.9332971384666069,-105.0,True,0.02,13.546462503410082,11.962596378109543
draftkings,Jalen Green,PHX,LAC,2025-11-06,pra,18.5,-119.0,-109.0,0.5102580936358787,0.48974190636412124,0.3696656935415279,Under,14.059240009435086,0.6303343064584721,-109.0,True,0.02,14.519578902651682,11.962596378109543
fanduel,Jalen Green,PHX,LAC,2025-11-06,pra,18.5,-108.0,-122.0,0.48581617766250607,0.5141838223374939,0.3696656935415279,Under,11.615048412097817,0.6303343064584721,-122.0,True,0.02,14.519578902651682,11.962596378109543
caesars,Jalen Green,PHX,LAC,2025-11-06,pra,18.5,-112.0,-121.0,0.49107213713197356,0.5089278628680263,0.3696656935415279,Under,12.140644359044583,0.6303343064584721,-121.0,True,0.02,14.519578902651682,11.962596378109543
hardrock,Jalen Green,PHX,LAC,2025-11-06,pra,18.5,-115.0,-115.0,0.5,0.5,0.3696656935415279,Under,13.033430645847211,0.6303343064584721,-115.0,True,0.02,14.519578902651682,11.962596378109543
hardrock,John Collins,LAC,PHX,2025-11-06,pra,25.5,-125.0,-105.0,0.5203045685279188,0.4796954314720812,0.1588385597970114,Under,36.14660087309073,0.8411614402029886,-105.0,True,0.02,13.546462503410082,11.962596378109543
hardrock,Mark Williams,PHX,LAC,2025-11-06,pra,24.5,-110.0,-115.0,0.4947698744769875,0.5052301255230125,0.20205534158907468,Under,29.27145328879128,0.7979446584109253,-115.0,True,0.02,14.519578902651682,11.962596378109543
draftkings,Royce O'Neale,PHX,LAC,2025-11-06,pra,17.5,-105.0,-123.0,0.48149290561381863,0.5185070943861814,0.4016243101175081,Under,7.9868595496310535,0.5983756898824919,-123.0,True,0.02,14.519578902651682,11.962596378109543
fanduel,Royce O'Neale,PHX,LAC,2025-11-06,pra,17.5,-102.0,-130.0,0.4718423169750604,0.5281576830249397,0.4016243101175081,Under,7.0218006857552195,0.5983756898824919,-130.0,True,0.02,14.519578902651682,11.962596378109543
